Date,Rented Bike Count
2018-11-01,492
2018-11-01,409
2018-11-01,352
2018-11-01,265
2018-11-01,233
2018-11-01,237
2018-11-01,287
2018-11-01,927
2018-11-01,1418
2018-11-01,880
2018-11-01,832
2018-11-01,1009
2018-11-01,1096
2018-11-01,1118
2018-11-01,1073
2018-11-01,1190
2018-11-01,1401
2018-11-01,1596
2018-11-01,1807
2018-11-01,1246
2018-11-01,1173
2018-11-01,1148
2018-11-01,946
2018-11-01,746
2018-11-02,535
2018-11-02,439
2018-11-02,333
2018-11-02,239
2018-11-02,188
2018-11-02,186
2018-11-02,324
2018-11-02,840
2018-11-02,1252
2018-11-02,887
2018-11-02,891
2018-11-02,1050
2018-11-02,1157
2018-11-02,1129
2018-11-02,1237
2018-11-02,1347
2018-11-02,1624
2018-11-02,1714
2018-11-02,1794
2018-11-02,1497
2018-11-02,1381
2018-11-02,1124
2018-11-02,1003
2018-11-02,843
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-03,0
2018-11-04,685
2018-11-04,543
2018-11-04,392
2018-11-04,247
2018-11-04,171
2018-11-04,179
2018-11-04,326
2018-11-04,710
2018-11-04,1069
2018-11-04,852
2018-11-04,898
2018-11-04,962
2018-11-04,1138
2018-11-04,1244
2018-11-04,1306
2018-11-04,1452
2018-11-04,1458
2018-11-04,1822
2018-11-04,1722
2018-11-04,1379
2018-11-04,1372
2018-11-04,1261
2018-11-04,1153
2018-11-04,817
2018-11-05,658
2018-11-05,544
2018-11-05,343
2018-11-05,191
2018-11-05,178
2018-11-05,129
2018-11-05,252
2018-11-05,571
2018-11-05,950
2018-11-05,887
2018-11-05,824
2018-11-05,949
2018-11-05,817
2018-11-05,1110
2018-11-05,1126
2018-11-05,1272
2018-11-05,1418
2018-11-05,1564
2018-11-05,1630
2018-11-05,1419
2018-11-05,1226
2018-11-05,1154
2018-11-05,1045
2018-11-05,738
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-06,0
2018-11-07,678
2018-11-07,566
2018-11-07,355
2018-11-07,117
2018-11-07,141
2018-11-07,175
2018-11-07,181
2018-11-07,423
2018-11-07,591
2018-11-07,394
2018-11-07,601
2018-11-07,663
2018-11-07,889
2018-11-07,825
2018-11-07,989
2018-11-07,878
2018-11-07,1066
2018-11-07,1266
2018-11-07,1413
2018-11-07,1188
2018-11-07,1334
2018-11-07,1340
2018-11-07,1292
2018-11-07,1008
2018-11-08,749
2018-11-08,583
2018-11-08,394
2018-11-08,206
2018-11-08,168
2018-11-08,178
2018-11-08,172
2018-11-08,545
2018-11-08,612
2018-11-08,86
2018-11-08,276
2018-11-08,244
2018-11-08,22
2018-11-08,310
2018-11-08,323
2018-11-08,36
2018-11-08,316
2018-11-08,542
2018-11-08,154
2018-11-08,728
2018-11-08,778
2018-11-08,56
2018-11-08,672
2018-11-08,510
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-09,0
2018-11-10,677
2018-11-10,530
2018-11-10,357
2018-11-10,271
2018-11-10,168
2018-11-10,175
2018-11-10,331
2018-11-10,636
2018-11-10,774
2018-11-10,607
2018-11-10,788
2018-11-10,830
2018-11-10,946
2018-11-10,907
2018-11-10,1059
2018-11-10,1166
2018-11-10,1345
2018-11-10,1419
2018-11-10,1544
2018-11-10,1261
2018-11-10,1121
2018-11-10,935
2018-11-10,860
2018-11-10,845
2018-11-11,456
2018-11-11,456
2018-11-11,298
2018-11-11,186
2018-11-11,109
2018-11-11,133
2018-11-11,257
2018-11-11,590
2018-11-11,831
2018-11-11,824
2018-11-11,742
2018-11-11,740
2018-11-11,751
2018-11-11,735
2018-11-11,731
2018-11-11,719
2018-11-11,781
2018-11-11,1019
2018-11-11,1130
2018-11-11,1089
2018-11-11,1055
2018-11-11,1138
2018-11-11,913
2018-11-11,765
2018-11-12,533
2018-11-12,418
2018-11-12,352
2018-11-12,268
2018-11-12,232
2018-11-12,235
2018-11-12,382
2018-11-12,911
2018-11-12,1133
2018-11-12,907
2018-11-12,856
2018-11-12,938
2018-11-12,1140
2018-11-12,1120
2018-11-12,1133
2018-11-12,1211
2018-11-12,1288
2018-11-12,1396
2018-11-12,1486
2018-11-12,1165
2018-11-12,1089
2018-11-12,1091
2018-11-12,962
2018-11-12,734
2018-11-13,547
2018-11-13,381
2018-11-13,326
2018-11-13,230
2018-11-13,185
2018-11-13,191
2018-11-13,323
2018-11-13,813
2018-11-13,1208
2018-11-13,828
2018-11-13,849
2018-11-13,955
2018-11-13,1130
2018-11-13,1114
2018-11-13,1182
2018-11-13,1274
2018-11-13,1394
2018-11-13,1492
2018-11-13,1600
2018-11-13,1121
2018-11-13,1109
2018-11-13,1099
2018-11-13,1089
2018-11-13,819
2018-11-14,560
2018-11-14,440
2018-11-14,356
2018-11-14,252
2018-11-14,178
2018-11-14,179
2018-11-14,313
2018-11-14,732
2018-11-14,1213
2018-11-14,855
2018-11-14,889
2018-11-14,971
2018-11-14,1066
2018-11-14,1076
2018-11-14,1140
2018-11-14,1270
2018-11-14,1336
2018-11-14,1492
2018-11-14,1671
2018-11-14,1327
2018-11-14,1140
2018-11-14,1071
2018-11-14,971
2018-11-14,760
2018-11-15,574
2018-11-15,433
2018-11-15,348
2018-11-15,238
2018-11-15,184
2018-11-15,165
2018-11-15,326
2018-11-15,846
2018-11-15,1179
2018-11-15,808
2018-11-15,835
2018-11-15,937
2018-11-15,1071
2018-11-15,1066
2018-11-15,1072
2018-11-15,1252
2018-11-15,1366
2018-11-15,1434
2018-11-15,1635
2018-11-15,1338
2018-11-15,1032
2018-11-15,1018
2018-11-15,981
2018-11-15,810
2018-11-16,586
2018-11-16,494
2018-11-16,371
2018-11-16,242
2018-11-16,189
2018-11-16,197
2018-11-16,386
2018-11-16,778
2018-11-16,1080
2018-11-16,853
2018-11-16,624
2018-11-16,932
2018-11-16,1008
2018-11-16,904
2018-11-16,1007
2018-11-16,997
2018-11-16,915
